Data Point (2m/s),Aileron Delection Servo signal,Ail Defl Sig Transmitter,,Alpha 
1,1501,-0.4,,0
2,1400,-19.4,,
3,1299,-40.2,,
4,1198,-59.4,,
5,1090,-80.7,,
6,992,-100,,
7,1608,20.5,,
8,1710,40.3,,
9,1808,59.4,,
10,1915,80.2,,
11,2015,100,,
,,,,
Data Poin (5m/s),,,,
1,1501,-0.5,,
2,1401,-20,,
3,1297,-40,,
4,1192,-60.5,,
5,1094,-79.8,,
6,991,-100,,
7,1606,19.6,,
8,1707,40,,
9,1804,59.5,,
10,1910,79,,
11,2015,100,,
,,,,
Data Poin (10m/s),,,,
1,1501,-0.5,,
2,1401,-20.1,,
3,1293,-40.7,,
4,1194,-59.7,,
5,1096,-79.3,,
6,991,-100,,
7,1599,19,,
8,1711,40.1,,
9,1810,60.6,,
10,1908,79.2,,
11,2015,100,,
